Data Time,X,Y,Z
2016/01/27 18:40:30.72,29473,38416,28689
2016/01/27 18:40:30.74,29649,38112,28961
2016/01/27 18:40:30.76,29681,37984,29121
2016/01/27 18:40:30.78,29601,38128,29185
2016/01/27 18:40:30.80,29377,38320,29249
2016/01/27 18:40:30.82,29073,38416,29025
2016/01/27 18:40:30.84,28865,38480,28897
2016/01/27 18:40:30.86,28657,38384,28769
2016/01/27 18:40:30.88,28625,38368,28497
2016/01/27 18:40:30.90,28561,38272,28561
2016/01/27 18:40:30.92,28561,38256,28849
2016/01/27 18:40:30.94,28561,38256,28849
2016/01/27 18:40:30.96,28257,38240,29089
2016/01/27 18:40:30.98,27761,38256,29137
2016/01/27 18:40:31.00,32657,30737,24897
2016/01/27 18:40:31.02,32705,30705,24865
2016/01/27 18:40:31.04,32673,30673,24881
2016/01/27 18:40:31.06,32705,30657,24833
2016/01/27 18:40:31.08,32721,30673,24865
2016/01/27 18:40:31.10,32721,30689,24881
2016/01/27 18:40:31.12,32737,30689,24865
2016/01/27 18:40:31.14,32641,30689,24897
2016/01/27 18:40:31.16,32705,30689,24881
2016/01/27 18:40:31.18,32689,30721,24929
2016/01/27 18:40:31.20,32657,30705,24881
2016/01/27 18:40:31.22,32657,30641,24961
2016/01/27 18:40:31.24,32689,30689,24929
2016/01/27 18:40:31.26,32641,30689,24881
2016/01/27 18:40:31.28,32657,30689,24897
2016/01/27 18:40:31.30,32705,30705,24897
2016/01/27 18:40:31.32,32705,30689,24897
2016/01/27 18:40:31.34,32737,30689,24913
2016/01/27 18:40:31.36,32705,30657,24897
2016/01/27 18:40:31.38,32705,30689,24897
2016/01/27 18:40:31.40,32721,30721,24961
2016/01/27 18:40:31.42,32721,30705,24929
2016/01/27 18:40:31.44,32705,30705,24913
2016/01/27 18:40:31.46,32721,30737,24881
2016/01/27 18:40:31.48,32721,30737,24897
2016/01/27 18:40:31.50,32705,30721,24881
2016/01/27 18:40:31.52,32705,30705,24881
2016/01/27 18:40:31.54,32673,30689,24833
2016/01/27 18:40:31.56,32657,30689,24913
2016/01/27 18:40:31.58,32721,30705,24945
2016/01/27 18:40:31.60,32737,30705,24913
2016/01/27 18:40:31.62,32737,30689,24897
2016/01/27 18:40:31.64,32705,30721,24865
2016/01/27 18:40:31.66,32753,30705,24817
2016/01/27 18:40:31.68,32753,30721,24913
2016/01/27 18:40:31.70,32784,30737,24945
2016/01/27 18:40:31.72,32737,30801,24961
2016/01/27 18:40:31.74,32721,30769,24897
2016/01/27 18:40:31.76,32737,30753,24897
2016/01/27 18:40:31.78,32753,30721,24913
2016/01/27 18:40:31.80,32768,30705,24897
2016/01/27 18:40:31.82,32753,30689,24865
2016/01/27 18:40:31.84,32753,30705,24897
2016/01/27 18:40:31.86,32753,30737,24881
2016/01/27 18:40:31.88,32737,30753,24881
2016/01/27 18:40:31.90,32737,30737,24833
2016/01/27 18:40:31.92,32737,30785,24913
2016/01/27 18:40:31.94,32753,30801,24945
2016/01/27 18:40:31.96,32721,30769,24913
2016/01/27 18:40:31.98,32737,30673,24929
2016/01/27 18:40:32.00,32689,30705,24897
2016/01/27 18:40:32.02,32705,30705,24865
2016/01/27 18:40:32.04,32705,30689,24817
2016/01/27 18:40:32.06,32721,30689,24865
2016/01/27 18:40:32.08,32753,30705,24913
2016/01/27 18:40:32.10,32753,30721,24929
2016/01/27 18:40:32.12,32737,30721,24913
2016/01/27 18:40:32.14,32784,30721,24881
2016/01/27 18:40:32.16,32816,30737,24913
2016/01/27 18:40:32.18,32800,30737,24865
2016/01/27 18:40:32.20,32800,30753,24865
2016/01/27 18:40:32.22,32784,30721,24881
2016/01/27 18:40:32.24,32784,30721,24897
2016/01/27 18:40:32.26,32784,30753,24881
2016/01/27 18:40:32.28,32753,30737,24897
2016/01/27 18:40:32.30,32784,30753,24929
2016/01/27 18:40:32.32,32768,30721,24897
2016/01/27 18:40:32.34,32753,30721,24913
2016/01/27 18:40:32.36,32737,30737,24897
2016/01/27 18:40:32.38,32737,30689,24769
2016/01/27 18:40:32.40,32753,30753,24881
2016/01/27 18:40:32.42,32768,30769,24945
2016/01/27 18:40:32.44,32753,30769,24961
2016/01/27 18:40:32.46,32737,30785,24897
2016/01/27 18:40:32.48,32705,30801,24849
2016/01/27 18:40:32.50,32753,30721,24881
2016/01/27 18:40:32.52,32768,30705,24881
2016/01/27 18:40:32.54,32768,30705,24849
2016/01/27 18:40:32.56,32816,30753,24881
2016/01/27 18:40:32.58,32784,30753,24897
2016/01/27 18:40:32.60,32816,30801,24881
2016/01/27 18:40:32.62,32832,30769,24865
2016/01/27 18:40:32.64,32816,30785,24865
2016/01/27 18:40:32.66,32800,30753,24929
2016/01/27 18:40:32.68,32768,30769,24913
2016/01/27 18:40:32.70,32784,30737,24865
2016/01/27 18:40:32.72,32768,30689,24865
2016/01/27 18:40:32.74,32800,30737,24881
2016/01/27 18:40:32.76,32768,30753,24897
2016/01/27 18:40:32.78,32753,30769,24865
2016/01/27 18:40:32.80,32768,30753,24913
2016/01/27 18:40:32.82,32784,30721,24881
2016/01/27 18:40:32.84,32800,30705,24881
2016/01/27 18:40:32.86,32768,30705,24865
2016/01/27 18:40:32.88,32800,30769,24849
2016/01/27 18:40:32.90,32816,30785,24881
2016/01/27 18:40:32.92,32784,30785,24865
2016/01/27 18:40:32.94,32800,30769,24913
2016/01/27 18:40:32.96,32784,30785,24897
2016/01/27 18:40:32.98,32800,30769,24897
2016/01/27 18:40:33.00,32816,30785,24881
2016/01/27 18:40:33.02,32816,30801,24881
2016/01/27 18:40:33.04,32816,30785,24945
2016/01/27 18:40:33.06,32832,30785,24897
2016/01/27 18:40:33.08,32832,30785,24897
2016/01/27 18:40:33.10,32800,30705,24817
2016/01/27 18:40:33.12,32800,30705,24817
2016/01/27 18:40:33.14,32784,30769,24817
2016/01/27 18:40:33.16,32848,30769,24929
2016/01/27 18:40:33.18,32864,30801,24929
2016/01/27 18:40:33.20,32800,30817,24929
2016/01/27 18:40:33.22,32753,30849,24897
2016/01/27 18:40:33.24,32832,30817,24865
2016/01/27 18:40:33.26,32832,30785,24865
2016/01/27 18:40:33.28,32848,30753,24913
2016/01/27 18:40:33.30,32864,30737,24913
2016/01/27 18:40:33.32,32864,30737,24865
2016/01/27 18:40:33.34,32880,30769,24849
2016/01/27 18:40:33.36,32864,30737,24833
2016/01/27 18:40:33.38,32848,30801,24913
2016/01/27 18:40:33.40,32816,30801,24897
2016/01/27 18:40:33.42,32800,30833,24945
2016/01/27 18:40:33.44,32784,30785,24881
2016/01/27 18:40:33.46,32784,30705,24865
2016/01/27 18:40:33.48,32816,30769,24945
2016/01/27 18:40:33.50,32832,30769,24881
2016/01/27 18:40:33.52,32768,30737,24881
2016/01/27 18:40:33.54,32832,30769,24881
2016/01/27 18:40:33.56,32864,30753,24881
2016/01/27 18:40:33.58,32864,30705,24897
2016/01/27 18:40:33.60,32864,30705,24945
2016/01/27 18:40:33.62,32832,30753,24881
2016/01/27 18:40:33.64,32848,30737,24897
2016/01/27 18:40:33.66,32848,30785,24913
2016/01/27 18:40:33.68,32848,30785,24913
2016/01/27 18:40:33.70,32832,30785,24897
2016/01/27 18:40:33.72,32832,30737,24881
2016/01/27 18:40:33.74,32816,30737,24897
2016/01/27 18:40:33.76,32800,30769,24897
